file                                        format  type    num_seqs        sum_len  min_len  avg_len  max_len
output/micro_fastq/micro_IG060_R2.fastq.gz  FASTQ   DNA   31,898,886  4,803,665,051       36    150.6      151
output/micro_fastq/micro_IG061_R1.fastq.gz  FASTQ   DNA   22,911,480  3,449,793,769       36    150.6      151
output/micro_fastq/micro_IG061_R2.fastq.gz  FASTQ   DNA   22,911,480  3,449,798,610       36    150.6      151
output/micro_fastq/micro_IG062_R1.fastq.gz  FASTQ   DNA   19,865,241  2,991,741,411       36    150.6      151
output/micro_fastq/micro_IG062_R2.fastq.gz  FASTQ   DNA   19,865,241  2,991,745,575       36    150.6      151
output/micro_fastq/micro_IG063_R1.fastq.gz  FASTQ   DNA   20,561,866  3,098,016,860       36    150.7      151
output/micro_fastq/micro_IG063_R2.fastq.gz  FASTQ   DNA   20,561,866  3,098,021,319       36    150.7      151
output/micro_fastq/micro_IG064_R1.fastq.gz  FASTQ   DNA   18,385,525  2,768,836,096       36    150.6      151
output/micro_fastq/micro_IG064_R2.fastq.gz  FASTQ   DNA   18,385,525  2,768,840,046       36    150.6      151
output/micro_fastq/micro_IG065_R1.fastq.gz  FASTQ   DNA   19,379,544  2,921,018,973       36    150.7      151
output/micro_fastq/micro_IG065_R2.fastq.gz  FASTQ   DNA   19,379,544  2,921,023,116       36    150.7      151
output/micro_fastq/micro_IG066_R1.fastq.gz  FASTQ   DNA   19,774,019  2,978,756,818       36    150.6      151
output/micro_fastq/micro_IG066_R2.fastq.gz  FASTQ   DNA   19,774,019  2,978,760,950       36    150.6      151
output/micro_fastq/micro_IG067_R1.fastq.gz  FASTQ   DNA   10,630,257  1,602,474,684       36    150.7      151
output/micro_fastq/micro_IG067_R2.fastq.gz  FASTQ   DNA   10,630,257  1,602,477,051       36    150.7      151
output/micro_fastq/micro_IG068_R1.fastq.gz  FASTQ   DNA   20,780,058  3,128,642,628       36    150.6      151
output/micro_fastq/micro_IG068_R2.fastq.gz  FASTQ   DNA   20,780,058  3,128,647,160       36    150.6      151
output/micro_fastq/micro_IG069_R1.fastq.gz  FASTQ   DNA   17,671,066  2,660,623,949       36    150.6      151
output/micro_fastq/micro_IG069_R2.fastq.gz  FASTQ   DNA   17,671,066  2,660,627,819       36    150.6      151
output/micro_fastq/micro_IG070_R1.fastq.gz  FASTQ   DNA   14,818,889  2,233,413,566       36    150.7      151
output/micro_fastq/micro_IG070_R2.fastq.gz  FASTQ   DNA   14,818,889  2,233,416,943       36    150.7      151
output/micro_fastq/micro_IG072_R1.fastq.gz  FASTQ   DNA   29,730,045  4,476,071,901       36    150.6      151
output/micro_fastq/micro_IG072_R2.fastq.gz  FASTQ   DNA   29,730,045  4,476,078,101       36    150.6      151
output/micro_fastq/micro_IG073_R1.fastq.gz  FASTQ   DNA   27,012,384  4,067,273,248       36    150.6      151
output/micro_fastq/micro_IG073_R2.fastq.gz  FASTQ   DNA   27,012,384  4,067,278,826       36    150.6      151
output/micro_fastq/micro_IG074_R1.fastq.gz  FASTQ   DNA   27,015,788  4,067,811,555       36    150.6      151
